,enumerator,geo_location,district,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
0,Anita,28.0730454 81.5542845 77.85358932485494 4.551,Bardiya,sw,,,bd-sw-16,,60,4.0,1.9,1.5,,2021-08-09,,bd-sw-16,Aug
1,Anita,28.0731736 81.5542198 78.23443176682117 15.473,Bardiya,sw,,,bd-sw-15,,55,3.0,1.8,0.65,,2021-08-09,,bd-sw-15,Aug
2,Anita,28.0730752 81.5541683 99.01915621465078 13.653,Bardiya,sw,,,bd-sw-14,,10,3.0,2.0,0.9,,2021-08-09,,bd-sw-14,Aug
3,Anita,28.1901003 81.4801999 95.96191099421911 4.803,Bardiya,sw,,,bd-sw-11,,75,4.0,1.7,1.55,,2021-08-08,,bd-sw-11,Aug
4,Anita,28.1938307 81.4798692 99.8562533972747 4.803,Bardiya,sw,,,bd-sw-10,,60,4.0,1.8,1.6,,2021-08-08,,bd-sw-10,Aug
5,Anita,28.1976928 81.4789118 103.65591418252136 4.803,Bardiya,sw,,,bd-sw-07,,45,5.0,2.0,2.55,,2021-08-08,,bd-sw-07,Aug
6,Anita,28.2140378 81.4888619 108.71901051283 4.803,Bardiya,sw,,,bd-sw-08,,40,3.0,1.5,1.1,,2021-08-08,,bd-sw-08,Aug
7,Anita,28.2376965 81.504949 115.70759715027975 4.854,Bardiya,sw,,,bd-sw-04,,32,4.0,2.2,1.48,,2021-08-08,,bd-sw-04,Aug
8,Anita,28.2259072 81.4953411 118.57153403694618 4.551,Bardiya,sw,,,bd-sw-22,,10,4.0,2.0,1.9,,2021-08-08,,bd-sw-22,Aug
9,Anita,28.2214914 81.491992 112.19259305484597 4.551,Bardiya,sw,,,bd-sw-21,,40,4.0,2.0,1.6,,2021-08-08,,bd-sw-21,Aug
10,Anita,28.2172162 81.4894308 108.37573698392666 4.551,Bardiya,sw,,,bd-sw-02,,0,2.0,1.0,1,,2021-08-08,,bd-sw-02,Aug
11,Anita,28.2130177 81.3270243 89.87357367054865 4.551,Bardiya,sw,,,bd-sw-13,,10,5.0,2.0,2.9,,2021-08-04,,bd-sw-13,Aug
12,Anita,28.2179781 81.3042395 95.37287826827239 4.854,Bardiya,sw,,,bd-sw-12,,40,12.0,2.0,9.6,,2021-08-04,,bd-sw-12,Aug
13,Anita,28.2194054 81.3116733 90.75116552619151 4.854,Bardiya,sw,,,bd-sw-09,,50,3.0,2.0,0.5,,2021-08-04,,bd-sw-09,Aug
14,Anita,28.1873754 81.3347824 87.12607686828471 4.803,Bardiya,sw,,,bd-sw-06,,40,4.0,1.6,2,,2021-08-04,,bd-sw-06,Aug
15,Anita,28.1897239 81.383618 85.65240648033817 4.803,Bardiya,sw,,,bd-sw-05,,30,4.0,1.5,2.2,,2021-08-04,,bd-sw-05,Aug
16,Anita,28.1880466 81.4799114 97.94417940144872 4.551,Bardiya,sw,,,bd-sw-03,,40,3.0,1.0,1.6,,2021-08-04,,bd-sw-03,Aug
17,Anita,28.1657641 81.5009533 80.40591800780668 4.803,Bardiya,sw,,,bd-sw-20,,70,6.0,1.9,3.4,,2021-08-04,,bd-sw-20,Aug
