"Plot Title: 20976219"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976219, SEN S/N: 20976219)","Temp, °C (LGR S/N: 20976219, SEN S/N: 20976219)","Water Level, meters (LGR S/N: 20976219)"
1,02/09/21 05:00:00 PM,139.970,25.222,-2.560
2,02/10/21 05:00:00 AM,140.005,25.222,-2.556
3,02/10/21 05:00:00 PM,139.969,25.125,-2.560
4,02/11/21 05:00:00 AM,140.005,25.125,-2.556
5,02/11/21 05:00:00 PM,139.366,25.125,-2.622
6,02/12/21 05:00:00 AM,139.898,25.125,-2.567
7,02/12/21 05:00:00 PM,139.543,25.125,-2.604
8,02/13/21 05:00:00 AM,139.898,25.125,-2.567
9,02/13/21 05:00:00 PM,139.863,25.125,-2.571
10,02/14/21 05:00:00 AM,139.898,25.125,-2.567
11,02/14/21 05:00:00 PM,139.543,25.125,-2.604
12,02/15/21 05:00:00 AM,139.685,25.125,-2.589
13,02/15/21 05:00:00 PM,139.259,25.028,-2.633
14,02/16/21 05:00:00 AM,139.401,25.028,-2.618
15,02/16/21 05:00:00 PM,138.726,25.028,-2.687
16,02/17/21 05:00:00 AM,139.366,25.125,-2.622
17,02/17/21 05:00:00 PM,138.726,25.028,-2.687
18,02/18/21 05:00:00 AM,139.330,25.028,-2.625
19,02/18/21 05:00:00 PM,138.868,25.028,-2.672
20,02/19/21 05:00:00 AM,139.507,25.028,-2.607
21,02/19/21 05:00:00 PM,138.868,25.028,-2.672
22,02/20/21 05:00:00 AM,139.507,25.028,-2.607
23,02/20/21 05:00:00 PM,139.294,25.028,-2.629
24,02/21/21 05:00:00 AM,139.259,25.028,-2.633
25,02/21/21 05:00:00 PM,138.975,25.028,-2.661
26,02/22/21 05:00:00 AM,139.080,24.931,-2.651
27,02/22/21 05:00:00 PM,138.868,25.028,-2.672
28,02/23/21 05:00:00 AM,138.797,25.028,-2.680
29,02/23/21 05:00:00 PM,138.655,25.028,-2.694
30,02/24/21 05:00:00 AM,138.548,24.931,-2.705
31,02/24/21 05:00:00 PM,137.803,24.931,-2.781
32,02/25/21 05:00:00 AM,138.264,24.931,-2.734
33,02/25/21 05:00:00 PM,137.945,24.931,-2.766
34,02/26/21 05:00:00 AM,137.874,24.931,-2.774
35,02/26/21 05:00:00 PM,137.732,24.931,-2.788
36,02/27/21 05:00:00 AM,137.803,24.931,-2.781
37,02/27/21 05:00:00 PM,137.661,24.931,-2.795
38,02/28/21 05:00:00 AM,137.803,24.931,-2.781
39,02/28/21 05:00:00 PM,137.341,24.835,-2.828
40,03/01/21 05:00:00 AM,137.909,24.835,-2.770
41,03/01/21 05:00:00 PM,137.909,24.931,-2.770
42,03/02/21 05:00:00 AM,138.122,24.931,-2.748
43,03/02/21 05:00:00 PM,137.377,24.931,-2.824
44,03/03/21 05:00:00 AM,137.873,24.835,-2.774
45,03/03/21 05:00:00 PM,137.803,24.931,-2.781
46,03/04/21 05:00:00 AM,137.873,24.835,-2.774
47,03/04/21 05:00:00 PM,137.199,24.835,-2.843
48,03/05/21 05:00:00 AM,137.518,24.835,-2.810
49,03/05/21 05:00:00 PM,137.057,24.835,-2.857
50,03/06/21 05:00:00 AM,137.305,24.835,-2.832
51,03/06/21 05:00:00 PM,136.667,24.835,-2.897
52,03/07/21 05:00:00 AM,137.234,24.835,-2.839
53,03/07/21 05:00:00 PM,136.844,24.835,-2.879
54,03/08/21 05:00:00 AM,137.305,24.835,-2.832
55,03/08/21 05:00:00 PM,137.093,24.835,-2.853
56,03/09/21 05:00:00 AM,137.341,24.835,-2.828
57,03/09/21 05:00:00 PM,136.844,24.835,-2.879
58,03/10/21 05:00:00 AM,137.270,24.835,-2.835
59,03/10/21 05:00:00 PM,136.560,24.835,-2.908
60,03/11/21 05:00:00 AM,137.128,24.835,-2.850
61,03/11/21 05:00:00 PM,136.808,24.738,-2.882
62,03/12/21 05:00:00 AM,137.340,24.738,-2.828
63,03/12/21 05:00:00 PM,137.376,24.835,-2.825
64,03/13/21 05:00:00 AM,137.554,24.835,-2.806
65,03/13/21 05:00:00 PM,136.843,24.738,-2.879
66,03/14/21 05:00:00 AM,137.057,24.835,-2.857
67,03/14/21 05:00:00 PM,136.418,24.738,-2.922
68,03/15/21 05:00:00 AM,136.809,24.835,-2.882
69,03/15/21 05:00:00 PM,136.347,24.738,-2.929
70,03/16/21 05:00:00 AM,136.701,24.738,-2.893
71,03/16/21 05:00:00 PM,135.921,24.738,-2.973
72,03/17/21 05:00:00 AM,136.524,24.738,-2.911
73,03/17/21 05:00:00 PM,135.850,24.738,-2.980
74,03/18/21 05:00:00 AM,136.489,24.738,-2.915
75,03/18/21 05:00:00 PM,135.779,24.738,-2.987
76,03/19/21 05:00:00 AM,136.382,24.738,-2.926
77,03/19/21 05:00:00 PM,135.885,24.738,-2.977
78,03/20/21 05:00:00 AM,136.098,24.738,-2.955
79,03/20/21 05:00:00 PM,135.672,24.738,-2.998
80,03/21/21 05:00:00 AM,135.956,24.738,-2.969
81,03/21/21 05:00:00 PM,135.850,24.738,-2.980
82,03/22/21 05:00:00 AM,135.992,24.738,-2.966
83,03/22/21 05:00:00 PM,135.459,24.738,-3.020
84,03/23/21 05:00:00 AM,136.169,24.738,-2.948
85,03/23/21 05:00:00 PM,135.530,24.641,-3.013
86,03/24/21 05:00:00 AM,136.098,24.738,-2.955
87,03/24/21 05:00:00 PM,135.210,24.641,-3.045
88,03/25/21 05:00:00 AM,135.779,24.738,-2.987
89,03/25/21 05:00:00 PM,134.963,24.738,-3.071
90,03/26/21 05:00:00 AM,135.708,24.738,-2.995
91,03/26/21 05:00:00 PM,134.926,24.641,-3.074
92,03/27/21 05:00:00 AM,135.601,24.641,-3.006
93,03/27/21 05:00:00 PM,135.281,24.641,-3.038
94,03/28/21 05:00:00 AM,135.317,24.641,-3.034
95,03/28/21 05:00:00 PM,134.607,24.641,-3.107
96,03/29/21 05:00:00 AM,135.104,24.641,-3.056
97,03/29/21 05:00:00 PM,134.252,24.641,-3.143
98,03/30/21 05:00:00 AM,134.536,24.641,-3.114
99,03/30/21 05:00:00 PM,133.471,24.641,-3.223
100,03/31/21 05:00:00 AM,134.004,24.641,-3.168
101,03/31/21 05:00:00 PM,133.436,24.641,-3.226
102,04/01/21 05:00:00 AM,134.075,24.641,-3.161
103,04/01/21 05:00:00 PM,133.471,24.641,-3.223
104,04/02/21 05:00:00 AM,134.394,24.641,-3.129
105,04/02/21 05:00:00 PM,133.968,24.641,-3.172
106,04/03/21 05:00:00 AM,134.572,24.641,-3.110
107,04/03/21 05:00:00 PM,134.004,24.641,-3.168
108,04/04/21 05:00:00 AM,134.607,24.641,-3.107
109,04/04/21 05:00:00 PM,133.755,24.641,-3.194
110,04/05/21 05:00:00 AM,134.430,24.641,-3.125
111,04/05/21 05:00:00 PM,133.755,24.641,-3.194
112,04/06/21 05:00:00 AM,134.465,24.641,-3.121
113,04/06/21 05:00:00 PM,133.507,24.641,-3.219
114,04/07/21 05:00:00 AM,134.323,24.641,-3.136
115,04/07/21 05:00:00 PM,133.791,24.641,-3.190
116,04/08/21 05:00:00 AM,134.039,24.641,-3.165
117,04/08/21 05:00:00 PM,133.436,24.641,-3.226
118,04/09/21 05:00:00 AM,133.968,24.641,-3.172
119,04/09/21 05:00:00 PM,133.365,24.641,-3.234
120,04/10/21 05:00:00 AM,134.110,24.641,-3.158
121,04/10/21 05:00:00 PM,133.436,24.641,-3.226
122,04/11/21 05:00:00 AM,133.968,24.641,-3.172
123,04/11/21 05:00:00 PM,133.826,24.641,-3.187
124,04/12/21 05:00:00 AM,134.075,24.641,-3.161
125,04/12/21 05:00:00 PM,133.649,24.641,-3.205
126,04/13/21 05:00:00 AM,133.791,24.641,-3.190
127,04/13/21 05:00:00 PM,133.436,24.641,-3.226
128,04/14/21 05:00:00 AM,133.507,24.641,-3.219
129,04/14/21 05:00:00 PM,133.152,24.641,-3.255
130,04/15/21 05:00:00 AM,133.436,24.641,-3.226
131,04/15/21 05:00:00 PM,133.081,24.641,-3.262
132,04/16/21 05:00:00 AM,133.330,24.641,-3.237
133,04/16/21 05:00:00 PM,132.690,24.545,-3.302
134,04/17/21 05:00:00 AM,133.364,24.545,-3.234
135,04/17/21 05:00:00 PM,132.726,24.545,-3.299
136,04/18/21 05:00:00 AM,133.542,24.545,-3.215
137,04/18/21 05:00:00 PM,132.832,24.545,-3.288
138,04/19/21 05:00:00 AM,132.975,24.641,-3.273
139,04/19/21 05:00:00 PM,132.406,24.545,-3.331
140,04/20/21 05:00:00 AM,132.726,24.545,-3.299
141,04/20/21 05:00:00 PM,132.478,24.641,-3.324
142,04/21/21 05:00:00 AM,132.868,24.545,-3.284
143,04/21/21 05:00:00 PM,132.407,24.641,-3.331
144,04/22/21 05:00:00 AM,133.258,24.545,-3.244
145,04/22/21 05:00:00 PM,133.081,24.641,-3.262
146,04/23/21 05:00:00 AM,133.116,24.545,-3.259
147,04/23/21 05:00:00 PM,132.442,24.641,-3.328
148,04/24/21 05:00:00 AM,132.655,24.545,-3.306
149,04/24/21 05:00:00 PM,132.122,24.545,-3.360
150,04/25/21 05:00:00 AM,132.655,24.545,-3.306
151,04/25/21 05:00:00 PM,132.016,24.545,-3.371
152,04/26/21 05:00:00 AM,132.513,24.545,-3.320
