"Plot Title:  20976225"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976225, SEN S/N: 20976225)","Temp, °C (LGR S/N: 20976225, SEN S/N: 20976225)","Water Level, meters (LGR S/N: 20976225)"
1,02/02/21 05:00:00 PM,130.613,25.319,-2.850
2,02/03/21 05:00:00 AM,130.541,25.319,-2.857
3,02/03/21 05:00:00 PM,130.505,25.319,-2.861
4,02/04/21 05:00:00 AM,130.502,25.222,-2.861
5,02/04/21 05:00:00 PM,129.930,25.222,-2.920
6,02/05/21 05:00:00 AM,130.252,25.222,-2.887
7,02/05/21 05:00:00 PM,130.181,25.222,-2.894
8,02/06/21 05:00:00 AM,130.109,25.222,-2.901
9,02/06/21 05:00:00 PM,129.251,25.222,-2.989
10,02/07/21 05:00:00 AM,129.501,25.222,-2.963
11,02/07/21 05:00:00 PM,128.822,25.222,-3.033
12,02/08/21 05:00:00 AM,129.144,25.222,-3.000
13,02/08/21 05:00:00 PM,128.465,25.222,-3.069
14,02/09/21 05:00:00 AM,128.608,25.222,-3.054
15,02/09/21 05:00:00 PM,128.107,25.222,-3.106
16,02/10/21 05:00:00 AM,128.572,25.222,-3.058
17,02/10/21 05:00:00 PM,128.819,25.125,-3.033
18,02/11/21 05:00:00 AM,128.819,25.125,-3.033
19,02/11/21 05:00:00 PM,127.747,25.125,-3.142
20,02/12/21 05:00:00 AM,128.319,25.125,-3.084
21,02/12/21 05:00:00 PM,128.283,25.125,-3.088
22,02/13/21 05:00:00 AM,128.641,25.125,-3.051
23,02/13/21 05:00:00 PM,128.390,25.125,-3.077
24,02/14/21 05:00:00 AM,128.605,25.125,-3.055
25,02/14/21 05:00:00 PM,127.854,25.125,-3.131
26,02/15/21 05:00:00 AM,127.354,25.125,-3.182
27,02/15/21 05:00:00 PM,126.171,25.028,-3.303
28,02/16/21 05:00:00 AM,127.103,25.125,-3.208
29,02/16/21 05:00:00 PM,125.456,25.028,-3.376
30,02/17/21 05:00:00 AM,127.136,25.028,-3.205
31,02/17/21 05:00:00 PM,124.884,25.028,-3.434
32,02/18/21 05:00:00 AM,127.208,25.028,-3.197
33,02/18/21 05:00:00 PM,127.672,25.028,-3.150
34,02/19/21 05:00:00 AM,127.923,25.028,-3.124
35,02/19/21 05:00:00 PM,127.136,25.028,-3.205
36,02/20/21 05:00:00 AM,127.494,25.028,-3.168
37,02/20/21 05:00:00 PM,127.169,24.931,-3.201
38,02/21/21 05:00:00 AM,127.383,24.931,-3.179
39,02/21/21 05:00:00 PM,125.524,24.931,-3.369
40,02/22/21 05:00:00 AM,125.810,24.931,-3.340
41,02/22/21 05:00:00 PM,123.165,24.931,-3.609
42,02/23/21 05:00:00 AM,125.417,24.931,-3.380
43,02/23/21 05:00:00 PM,125.310,24.931,-3.391
44,02/24/21 05:00:00 AM,125.810,24.931,-3.340
45,02/24/21 05:00:00 PM,125.417,24.931,-3.380
46,02/25/21 05:00:00 AM,125.381,24.931,-3.384
47,02/25/21 05:00:00 PM,124.452,24.931,-3.478
48,02/26/21 05:00:00 AM,124.952,24.931,-3.427
49,02/26/21 05:00:00 PM,124.807,24.835,-3.442
50,02/27/21 05:00:00 AM,125.200,24.835,-3.402
51,02/27/21 05:00:00 PM,125.271,24.835,-3.395
52,02/28/21 05:00:00 AM,125.414,24.835,-3.380
53,02/28/21 05:00:00 PM,125.307,24.835,-3.391
54,03/01/21 05:00:00 AM,125.629,24.835,-3.358
55,03/01/21 05:00:00 PM,125.843,24.835,-3.336
56,03/02/21 05:00:00 AM,125.951,24.835,-3.325
57,03/02/21 05:00:00 PM,124.413,24.835,-3.482
58,03/03/21 05:00:00 AM,124.771,24.835,-3.446
59,03/03/21 05:00:00 PM,123.734,24.835,-3.551
60,03/04/21 05:00:00 AM,124.449,24.835,-3.479
61,03/04/21 05:00:00 PM,123.877,24.835,-3.537
62,03/05/21 05:00:00 AM,124.163,24.835,-3.508
63,03/05/21 05:00:00 PM,123.698,24.835,-3.555
64,03/06/21 05:00:00 AM,123.803,24.738,-3.544
65,03/06/21 05:00:00 PM,124.053,24.738,-3.519
66,03/07/21 05:00:00 AM,124.410,24.738,-3.483
67,03/07/21 05:00:00 PM,123.731,24.738,-3.552
68,03/08/21 05:00:00 AM,124.053,24.738,-3.519
69,03/08/21 05:00:00 PM,123.552,24.738,-3.570
70,03/09/21 05:00:00 AM,123.874,24.738,-3.537
71,03/09/21 05:00:00 PM,123.266,24.738,-3.599
72,03/10/21 05:00:00 AM,123.767,24.738,-3.548
73,03/10/21 05:00:00 PM,123.195,24.738,-3.606
74,03/11/21 05:00:00 AM,123.767,24.738,-3.548
75,03/11/21 05:00:00 PM,123.838,24.738,-3.541
76,03/12/21 05:00:00 AM,123.695,24.738,-3.555
77,03/12/21 05:00:00 PM,123.445,24.738,-3.581
