"Plot Title:  20976224"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976224, SEN S/N: 20976224)","Temp, °C (LGR S/N: 20976224, SEN S/N: 20976224)","Water Level, meters (LGR S/N: 20976224)"
1,02/12/21 05:00:00 PM,115.676,24.351,-3.080
2,02/13/21 05:00:00 AM,115.712,24.351,-3.076
3,02/13/21 05:00:00 PM,115.569,24.351,-3.091
4,02/14/21 05:00:00 AM,115.605,24.351,-3.087
5,02/14/21 05:00:00 PM,115.274,24.255,-3.121
6,02/15/21 05:00:00 AM,115.310,24.255,-3.117
7,02/15/21 05:00:00 PM,115.060,24.255,-3.143
8,02/16/21 05:00:00 AM,114.988,24.255,-3.150
9,02/16/21 05:00:00 PM,114.881,24.255,-3.161
10,02/17/21 05:00:00 AM,115.095,24.255,-3.139
11,02/17/21 05:00:00 PM,114.952,24.255,-3.154
12,02/18/21 05:00:00 AM,115.131,24.255,-3.136
13,02/18/21 05:00:00 PM,115.131,24.255,-3.136
14,02/19/21 05:00:00 AM,115.346,24.255,-3.114
15,02/19/21 05:00:00 PM,115.087,24.158,-3.140
16,02/20/21 05:00:00 AM,115.051,24.158,-3.144
17,02/20/21 05:00:00 PM,114.908,24.158,-3.158
18,02/21/21 05:00:00 AM,114.872,24.158,-3.162
19,02/21/21 05:00:00 PM,114.622,24.158,-3.187
20,02/22/21 05:00:00 AM,114.586,24.158,-3.191
21,02/22/21 05:00:00 PM,114.264,24.158,-3.224
22,02/23/21 05:00:00 AM,114.228,24.158,-3.228
23,02/23/21 05:00:00 PM,113.978,24.158,-3.253
24,02/24/21 05:00:00 AM,113.870,24.158,-3.264
25,02/24/21 05:00:00 PM,113.656,24.158,-3.286
26,02/25/21 05:00:00 AM,113.540,24.062,-3.298
27,02/25/21 05:00:00 PM,113.361,24.062,-3.316
28,02/26/21 05:00:00 AM,113.182,24.062,-3.334
29,02/26/21 05:00:00 PM,113.146,24.062,-3.338
30,02/27/21 05:00:00 AM,113.218,24.062,-3.331
31,02/27/21 05:00:00 PM,113.146,24.062,-3.338
32,02/28/21 05:00:00 AM,113.325,24.062,-3.320
33,02/28/21 05:00:00 PM,113.218,24.062,-3.331
34,03/01/21 05:00:00 AM,113.361,24.062,-3.316
35,03/01/21 05:00:00 PM,113.361,24.062,-3.316
36,03/02/21 05:00:00 AM,113.289,24.062,-3.323
37,03/02/21 05:00:00 PM,113.039,24.062,-3.349
38,03/03/21 05:00:00 AM,113.075,24.062,-3.345
39,03/03/21 05:00:00 PM,112.896,24.062,-3.363
40,03/04/21 05:00:00 AM,112.923,23.966,-3.361
41,03/04/21 05:00:00 PM,112.565,23.966,-3.397
42,03/05/21 05:00:00 AM,112.494,23.966,-3.404
43,03/05/21 05:00:00 PM,112.315,23.966,-3.423
44,03/06/21 05:00:00 AM,112.351,23.966,-3.419
45,03/06/21 05:00:00 PM,112.315,23.966,-3.423
46,03/07/21 05:00:00 AM,112.315,23.966,-3.423
47,03/07/21 05:00:00 PM,112.279,23.966,-3.426
48,03/08/21 05:00:00 AM,112.351,23.966,-3.419
49,03/08/21 05:00:00 PM,112.208,23.966,-3.434
50,03/09/21 05:00:00 AM,112.208,23.966,-3.434
51,03/09/21 05:00:00 PM,111.957,23.966,-3.459
52,03/10/21 05:00:00 AM,111.993,23.966,-3.456
53,03/10/21 05:00:00 PM,111.707,23.966,-3.485
54,03/11/21 05:00:00 AM,111.814,23.966,-3.474
55,03/11/21 05:00:00 PM,111.814,23.966,-3.474
56,03/12/21 05:00:00 AM,111.993,23.966,-3.456
57,03/12/21 05:00:00 PM,111.921,23.966,-3.463
58,03/13/21 05:00:00 AM,111.993,23.966,-3.456
59,03/13/21 05:00:00 PM,111.564,23.966,-3.499
60,03/14/21 05:00:00 AM,111.385,23.966,-3.518
61,03/14/21 05:00:00 PM,111.170,23.966,-3.539
62,03/15/21 05:00:00 AM,111.126,23.869,-3.544
63,03/15/21 05:00:00 PM,111.018,23.869,-3.555
64,03/16/21 05:00:00 AM,111.054,23.869,-3.551
65,03/16/21 05:00:00 PM,110.911,23.869,-3.566
66,03/17/21 05:00:00 AM,110.839,23.869,-3.573
67,03/17/21 05:00:00 PM,110.661,23.869,-3.591
68,03/18/21 05:00:00 AM,110.804,23.869,-3.577
69,03/18/21 05:00:00 PM,110.625,23.869,-3.595
70,03/19/21 05:00:00 AM,110.661,23.869,-3.591
71,03/19/21 05:00:00 PM,110.410,23.869,-3.617
72,03/20/21 05:00:00 AM,110.446,23.869,-3.613
73,03/20/21 05:00:00 PM,109.981,23.869,-3.661
74,03/21/21 05:00:00 AM,110.160,23.869,-3.642
75,03/21/21 05:00:00 PM,109.981,23.869,-3.661
76,03/22/21 05:00:00 AM,110.160,23.869,-3.642
77,03/22/21 05:00:00 PM,110.088,23.869,-3.650
78,03/23/21 05:00:00 AM,110.303,23.869,-3.628
79,03/23/21 05:00:00 PM,110.017,23.869,-3.657
80,03/24/21 05:00:00 AM,110.124,23.869,-3.646
81,03/24/21 05:00:00 PM,109.659,23.869,-3.694
82,03/25/21 05:00:00 AM,109.694,23.869,-3.690
83,03/25/21 05:00:00 PM,109.444,23.869,-3.715
84,03/26/21 05:00:00 AM,109.551,23.869,-3.705
85,03/26/21 05:00:00 PM,109.158,23.869,-3.745
86,03/27/21 05:00:00 AM,109.265,23.869,-3.734
87,03/27/21 05:00:00 PM,108.943,23.869,-3.767
88,03/28/21 05:00:00 AM,108.943,23.869,-3.767
89,03/28/21 05:00:00 PM,108.585,23.869,-3.803
90,03/29/21 05:00:00 AM,108.693,23.869,-3.792
91,03/29/21 05:00:00 PM,108.156,23.869,-3.847
92,03/30/21 05:00:00 AM,107.977,23.869,-3.865
93,03/30/21 05:00:00 PM,107.512,23.869,-3.912
94,03/31/21 05:00:00 AM,107.440,23.869,-3.920
95,03/31/21 05:00:00 PM,107.512,23.869,-3.912
96,04/01/21 05:00:00 AM,107.655,23.869,-3.898
97,04/01/21 05:00:00 PM,107.583,23.869,-3.905
98,04/02/21 05:00:00 AM,107.834,23.869,-3.880
99,04/02/21 05:00:00 PM,107.834,23.869,-3.880
100,04/03/21 05:00:00 AM,107.869,23.869,-3.876
101,04/03/21 05:00:00 PM,107.691,23.869,-3.894
102,04/04/21 05:00:00 AM,107.726,23.869,-3.891
103,04/04/21 05:00:00 PM,107.547,23.869,-3.909
104,04/05/21 05:00:00 AM,107.583,23.869,-3.905
105,04/05/21 05:00:00 PM,107.440,23.869,-3.920
106,04/06/21 05:00:00 AM,107.547,23.869,-3.909
107,04/06/21 05:00:00 PM,107.190,23.869,-3.945
108,04/07/21 05:00:00 AM,107.369,23.869,-3.927
109,04/07/21 05:00:00 PM,107.011,23.869,-3.964
110,04/08/21 05:00:00 AM,106.939,23.869,-3.971
111,04/08/21 05:00:00 PM,106.760,23.869,-3.989
112,04/09/21 05:00:00 AM,106.832,23.869,-3.982
113,04/09/21 05:00:00 PM,106.653,23.869,-4.000
114,04/10/21 05:00:00 AM,106.975,23.869,-3.967
115,04/10/21 05:00:00 PM,106.689,23.869,-3.996
116,04/11/21 05:00:00 AM,106.796,23.869,-3.986
117,04/11/21 05:00:00 PM,106.617,23.869,-4.004
118,04/12/21 05:00:00 AM,106.689,23.869,-3.996
119,04/12/21 05:00:00 PM,106.366,23.869,-4.029
120,04/13/21 05:00:00 AM,106.295,23.869,-4.037
121,04/13/21 05:00:00 PM,105.973,23.869,-4.069
122,04/14/21 05:00:00 AM,106.009,23.869,-4.066
123,04/14/21 05:00:00 PM,105.651,23.869,-4.102
124,04/15/21 05:00:00 AM,105.937,23.869,-4.073
125,04/15/21 05:00:00 PM,105.480,23.966,-4.120
126,04/16/21 05:00:00 AM,105.766,23.966,-4.091
127,04/16/21 05:00:00 PM,105.373,23.966,-4.131
128,04/17/21 05:00:00 AM,105.659,23.966,-4.101
129,04/17/21 05:00:00 PM,105.516,23.966,-4.116
130,04/18/21 05:00:00 AM,105.766,23.966,-4.091
131,04/18/21 05:00:00 PM,105.337,23.966,-4.134
132,04/19/21 05:00:00 AM,105.122,23.966,-4.156
133,04/19/21 05:00:00 PM,104.800,23.966,-4.189
134,04/20/21 05:00:00 AM,104.800,23.966,-4.189
135,04/20/21 05:00:00 PM,104.621,23.966,-4.207
136,04/21/21 05:00:00 AM,104.908,23.966,-4.178
137,04/21/21 05:00:00 PM,104.908,23.966,-4.178
138,04/22/21 05:00:00 AM,105.122,23.966,-4.156
139,04/22/21 05:00:00 PM,104.943,23.966,-4.174
140,04/23/21 05:00:00 AM,104.908,23.966,-4.178
141,04/23/21 05:00:00 PM,104.550,23.966,-4.215
142,04/24/21 05:00:00 AM,104.442,23.966,-4.226
143,04/24/21 05:00:00 PM,104.228,23.966,-4.247
144,04/25/21 05:00:00 AM,104.442,23.966,-4.226
145,04/25/21 05:00:00 PM,104.263,23.966,-4.244
146,04/26/21 05:00:00 AM,104.228,23.966,-4.247
147,04/26/21 05:00:00 PM,104.013,23.966,-4.269
148,04/27/21 05:00:00 AM,104.084,23.966,-4.262
149,04/27/21 05:00:00 PM,103.905,23.966,-4.280
150,04/28/21 05:00:00 AM,103.977,23.966,-4.273
151,04/28/21 05:00:00 PM,103.691,23.966,-4.302
152,04/29/21 05:00:00 AM,103.905,23.966,-4.280
153,04/29/21 05:00:00 PM,103.440,23.966,-4.328
154,04/30/21 05:00:00 AM,103.691,23.966,-4.302
155,04/30/21 05:00:00 PM,103.333,23.966,-4.339
156,05/01/21 05:00:00 AM,103.592,24.062,-4.312
157,05/01/21 05:00:00 PM,103.198,24.062,-4.352
158,05/02/21 05:00:00 AM,103.520,24.062,-4.320
159,05/02/21 05:00:00 PM,103.234,24.062,-4.349
160,05/03/21 05:00:00 AM,103.269,24.062,-4.345
161,05/03/21 05:00:00 PM,102.912,24.062,-4.382
162,05/04/21 05:00:00 AM,103.019,24.062,-4.371
163,05/04/21 05:00:00 PM,102.554,24.062,-4.418
164,05/05/21 05:00:00 AM,103.055,24.062,-4.367
165,05/05/21 05:00:00 PM,102.589,24.062,-4.415
166,05/06/21 05:00:00 AM,102.947,24.062,-4.378
167,05/06/21 05:00:00 PM,102.625,24.062,-4.411
168,05/07/21 05:00:00 AM,102.876,24.062,-4.385
169,05/07/21 05:00:00 PM,102.625,24.062,-4.411
170,05/08/21 05:00:00 AM,102.804,24.062,-4.393
171,05/08/21 05:00:00 PM,102.303,24.062,-4.444
172,05/09/21 05:00:00 AM,102.446,24.062,-4.429
173,05/09/21 05:00:00 PM,101.945,24.062,-4.480
174,05/10/21 05:00:00 AM,102.267,24.062,-4.447
175,05/10/21 05:00:00 PM,101.953,24.158,-4.479
176,05/11/21 05:00:00 AM,102.168,24.158,-4.457
177,05/11/21 05:00:00 PM,101.846,24.158,-4.490
178,05/12/21 05:00:00 AM,102.097,24.158,-4.465
179,05/12/21 05:00:00 PM,101.560,24.158,-4.519
180,05/13/21 05:00:00 AM,102.132,24.158,-4.461
181,05/13/21 05:00:00 PM,102.025,24.158,-4.472
182,05/14/21 05:00:00 AM,102.204,24.158,-4.454
183,05/14/21 05:00:00 PM,101.882,24.158,-4.487
184,05/15/21 05:00:00 AM,102.132,24.158,-4.461
185,05/15/21 05:00:00 PM,102.025,24.158,-4.472
186,05/16/21 05:00:00 AM,102.311,24.158,-4.443
187,05/16/21 05:00:00 PM,101.989,24.158,-4.476
188,05/17/21 05:00:00 AM,102.276,24.158,-4.446
189,05/17/21 05:00:00 PM,102.168,24.158,-4.457
190,05/18/21 05:00:00 AM,102.204,24.158,-4.454
191,05/18/21 05:00:00 PM,102.141,24.255,-4.460
192,05/19/21 05:00:00 AM,102.033,24.255,-4.471
193,05/19/21 05:00:00 PM,101.890,24.255,-4.486
194,05/20/21 05:00:00 AM,101.747,24.255,-4.500
195,05/20/21 05:00:00 PM,101.711,24.255,-4.504
196,05/21/21 05:00:00 AM,102.033,24.255,-4.471
197,05/21/21 05:00:00 PM,101.997,24.255,-4.475
198,05/22/21 05:00:00 AM,102.642,24.255,-4.409
199,05/22/21 05:00:00 PM,102.821,24.255,-4.391
200,05/23/21 05:00:00 AM,103.644,24.255,-4.307
201,05/23/21 05:00:00 PM,103.823,24.255,-4.289
202,05/24/21 05:00:00 AM,104.610,24.255,-4.208
203,05/24/21 05:00:00 PM,104.646,24.255,-4.205
204,05/25/21 05:00:00 AM,104.932,24.255,-4.176
205,05/25/21 05:00:00 PM,105.012,24.351,-4.167
206,05/26/21 05:00:00 AM,105.370,24.351,-4.131
207,05/26/21 05:00:00 PM,105.299,24.351,-4.138
208,05/27/21 05:00:00 AM,105.657,24.351,-4.102
209,05/27/21 05:00:00 PM,105.943,24.351,-4.072
210,05/28/21 05:00:00 AM,105.943,24.351,-4.072
211,05/28/21 05:00:00 PM,106.158,24.351,-4.051
212,05/29/21 05:00:00 AM,106.444,24.351,-4.021
213,05/29/21 05:00:00 PM,106.408,24.351,-4.025
214,05/30/21 05:00:00 AM,106.444,24.351,-4.021
215,05/30/21 05:00:00 PM,106.229,24.351,-4.043
216,05/31/21 05:00:00 AM,106.345,24.448,-4.031
217,05/31/21 05:00:00 PM,106.210,24.545,-4.045
218,06/01/21 05:00:00 AM,106.667,24.448,-3.999
219,06/01/21 05:00:00 PM,106.775,24.448,-3.988
220,06/02/21 05:00:00 AM,107.204,24.448,-3.944
221,06/02/21 05:00:00 PM,107.276,24.448,-3.937
222,06/03/21 05:00:00 AM,107.741,24.448,-3.889
223,06/03/21 05:00:00 PM,107.884,24.448,-3.875
