"Plot Title:  20976218"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976218, SEN S/N: 20976218)","Temp, °C (LGR S/N: 20976218, SEN S/N: 20976218)","Water Level, meters (LGR S/N: 20976218)"
1,02/07/21 05:00:00 PM,134.074,24.835,-3.600
2,02/08/21 05:00:00 AM,134.257,24.835,-3.581
3,02/08/21 05:00:00 PM,133.527,24.835,-3.656
4,02/09/21 05:00:00 AM,133.679,24.835,-3.640
5,02/09/21 05:00:00 PM,132.919,24.835,-3.718
6,02/10/21 05:00:00 AM,133.496,24.835,-3.659
7,02/10/21 05:00:00 PM,133.284,24.835,-3.681
8,02/11/21 05:00:00 AM,133.527,24.835,-3.656
9,02/11/21 05:00:00 PM,133.223,24.835,-3.687
10,02/12/21 05:00:00 AM,133.649,24.835,-3.643
11,02/12/21 05:00:00 PM,132.462,24.835,-3.764
12,02/13/21 05:00:00 AM,133.588,24.835,-3.650
13,02/13/21 05:00:00 PM,133.128,24.738,-3.696
14,02/14/21 05:00:00 AM,133.554,24.738,-3.653
15,02/14/21 05:00:00 PM,132.489,24.738,-3.762
16,02/15/21 05:00:00 AM,133.280,24.738,-3.681
17,02/15/21 05:00:00 PM,131.972,24.738,-3.814
18,02/16/21 05:00:00 AM,133.007,24.738,-3.709
19,02/16/21 05:00:00 PM,132.550,24.738,-3.755
20,02/17/21 05:00:00 AM,133.280,24.738,-3.681
21,02/17/21 05:00:00 PM,132.824,24.738,-3.727
22,02/18/21 05:00:00 AM,133.432,24.738,-3.665
23,02/18/21 05:00:00 PM,133.280,24.738,-3.681
24,02/19/21 05:00:00 AM,133.706,24.738,-3.638
25,02/19/21 05:00:00 PM,133.219,24.738,-3.687
26,02/20/21 05:00:00 AM,133.615,24.738,-3.647
27,02/20/21 05:00:00 PM,132.976,24.738,-3.712
28,02/21/21 05:00:00 AM,133.615,24.738,-3.647
29,02/21/21 05:00:00 PM,133.219,24.738,-3.687
30,02/22/21 05:00:00 AM,133.612,24.641,-3.647
31,02/22/21 05:00:00 PM,132.517,24.641,-3.759
32,02/23/21 05:00:00 AM,133.247,24.641,-3.684
33,02/23/21 05:00:00 PM,132.638,24.641,-3.746
34,02/24/21 05:00:00 AM,132.973,24.641,-3.712
35,02/24/21 05:00:00 PM,132.638,24.641,-3.746
36,02/25/21 05:00:00 AM,132.790,24.641,-3.731
37,02/25/21 05:00:00 PM,132.243,24.641,-3.787
38,02/26/21 05:00:00 AM,132.456,24.641,-3.765
39,02/26/21 05:00:00 PM,132.304,24.641,-3.780
40,02/27/21 05:00:00 AM,132.547,24.641,-3.756
41,02/27/21 05:00:00 PM,132.060,24.641,-3.805
42,02/28/21 05:00:00 AM,132.456,24.641,-3.765
43,02/28/21 05:00:00 PM,132.273,24.641,-3.784
44,03/01/21 05:00:00 AM,132.851,24.641,-3.725
45,03/01/21 05:00:00 PM,132.638,24.641,-3.746
46,03/02/21 05:00:00 AM,133.247,24.641,-3.684
47,03/02/21 05:00:00 PM,132.912,24.641,-3.718
48,03/03/21 05:00:00 AM,133.243,24.545,-3.685
49,03/03/21 05:00:00 PM,132.848,24.545,-3.725
50,03/04/21 05:00:00 AM,133.365,24.545,-3.672
51,03/04/21 05:00:00 PM,132.483,24.545,-3.762
52,03/05/21 05:00:00 AM,133.091,24.545,-3.700
53,03/05/21 05:00:00 PM,132.635,24.545,-3.747
54,03/06/21 05:00:00 AM,133.000,24.545,-3.710
55,03/06/21 05:00:00 PM,132.483,24.545,-3.762
56,03/07/21 05:00:00 AM,133.031,24.545,-3.706
57,03/07/21 05:00:00 PM,132.939,24.545,-3.716
58,03/08/21 05:00:00 AM,133.304,24.545,-3.679
59,03/08/21 05:00:00 PM,132.970,24.545,-3.713
60,03/09/21 05:00:00 AM,133.304,24.545,-3.679
61,03/09/21 05:00:00 PM,132.848,24.545,-3.725
62,03/10/21 05:00:00 AM,133.304,24.545,-3.679
63,03/10/21 05:00:00 PM,132.848,24.545,-3.725
64,03/11/21 05:00:00 AM,133.274,24.545,-3.682
65,03/11/21 05:00:00 PM,133.000,24.545,-3.710
66,03/12/21 05:00:00 AM,133.487,24.545,-3.660
67,03/12/21 05:00:00 PM,132.967,24.448,-3.713
68,03/13/21 05:00:00 AM,133.639,24.545,-3.644
69,03/13/21 05:00:00 PM,133.119,24.448,-3.697
70,03/14/21 05:00:00 AM,133.271,24.448,-3.682
71,03/14/21 05:00:00 PM,132.784,24.448,-3.732
72,03/15/21 05:00:00 AM,132.875,24.448,-3.722
73,03/15/21 05:00:00 PM,132.389,24.448,-3.772
74,03/16/21 05:00:00 AM,132.784,24.448,-3.732
75,03/16/21 05:00:00 PM,132.510,24.448,-3.759
76,03/17/21 05:00:00 AM,132.632,24.448,-3.747
77,03/17/21 05:00:00 PM,132.085,24.448,-3.803
78,03/18/21 05:00:00 AM,132.632,24.448,-3.747
79,03/18/21 05:00:00 PM,132.267,24.448,-3.784
80,03/19/21 05:00:00 AM,132.571,24.448,-3.753
81,03/19/21 05:00:00 PM,132.054,24.448,-3.806
82,03/20/21 05:00:00 AM,132.419,24.448,-3.769
83,03/20/21 05:00:00 PM,131.780,24.448,-3.834
84,03/21/21 05:00:00 AM,132.206,24.448,-3.790
85,03/21/21 05:00:00 PM,131.476,24.448,-3.865
86,03/22/21 05:00:00 AM,132.419,24.448,-3.769
87,03/22/21 05:00:00 PM,131.993,24.448,-3.812
88,03/23/21 05:00:00 AM,132.598,24.351,-3.751
89,03/23/21 05:00:00 PM,132.051,24.351,-3.806
90,03/24/21 05:00:00 AM,132.602,24.448,-3.750
91,03/24/21 05:00:00 PM,131.902,24.448,-3.821
92,03/25/21 05:00:00 AM,132.355,24.351,-3.775
93,03/25/21 05:00:00 PM,131.808,24.351,-3.831
94,03/26/21 05:00:00 AM,132.294,24.351,-3.782
95,03/26/21 05:00:00 PM,131.868,24.351,-3.825
96,03/27/21 05:00:00 AM,132.385,24.351,-3.772
97,03/27/21 05:00:00 PM,131.990,24.351,-3.813
98,03/28/21 05:00:00 AM,132.538,24.351,-3.757
99,03/28/21 05:00:00 PM,131.960,24.351,-3.816
100,03/29/21 05:00:00 AM,132.355,24.351,-3.775
101,03/29/21 05:00:00 PM,131.503,24.351,-3.862
102,03/30/21 05:00:00 AM,131.716,24.351,-3.840
103,03/30/21 05:00:00 PM,130.986,24.351,-3.915
104,03/31/21 05:00:00 AM,131.138,24.351,-3.899
105,03/31/21 05:00:00 PM,130.773,24.351,-3.937
106,04/01/21 05:00:00 AM,131.199,24.351,-3.893
107,04/01/21 05:00:00 PM,130.895,24.351,-3.924
108,04/02/21 05:00:00 AM,131.503,24.351,-3.862
109,04/02/21 05:00:00 PM,131.260,24.351,-3.887
110,04/03/21 05:00:00 AM,131.747,24.351,-3.837
111,04/03/21 05:00:00 PM,131.534,24.351,-3.859
112,04/04/21 05:00:00 AM,131.990,24.351,-3.813
113,04/04/21 05:00:00 PM,131.443,24.351,-3.868
114,04/05/21 05:00:00 AM,131.838,24.351,-3.828
115,04/05/21 05:00:00 PM,131.625,24.351,-3.850
116,04/06/21 05:00:00 AM,132.112,24.351,-3.800
117,04/06/21 05:00:00 PM,131.351,24.351,-3.878
118,04/07/21 05:00:00 AM,131.926,24.255,-3.819
119,04/07/21 05:00:00 PM,131.412,24.351,-3.871
120,04/08/21 05:00:00 AM,131.808,24.351,-3.831
121,04/08/21 05:00:00 PM,131.257,24.255,-3.887
122,04/09/21 05:00:00 AM,131.713,24.255,-3.841
123,04/09/21 05:00:00 PM,131.257,24.255,-3.887
124,04/10/21 05:00:00 AM,132.017,24.255,-3.810
125,04/10/21 05:00:00 PM,131.531,24.255,-3.859
126,04/11/21 05:00:00 AM,131.865,24.255,-3.825
127,04/11/21 05:00:00 PM,131.500,24.255,-3.862
128,04/12/21 05:00:00 AM,131.957,24.255,-3.816
129,04/12/21 05:00:00 PM,131.348,24.255,-3.878
130,04/13/21 05:00:00 AM,131.744,24.255,-3.838
131,04/13/21 05:00:00 PM,131.166,24.255,-3.897
132,04/14/21 05:00:00 AM,131.561,24.255,-3.856
133,04/14/21 05:00:00 PM,130.922,24.255,-3.921
134,04/15/21 05:00:00 AM,131.409,24.255,-3.872
135,04/15/21 05:00:00 PM,130.618,24.255,-3.952
136,04/16/21 05:00:00 AM,131.318,24.255,-3.881
137,04/16/21 05:00:00 PM,130.831,24.255,-3.931
138,04/17/21 05:00:00 AM,131.470,24.255,-3.866
139,04/17/21 05:00:00 PM,131.014,24.255,-3.912
140,04/18/21 05:00:00 AM,131.744,24.255,-3.838
141,04/18/21 05:00:00 PM,130.983,24.255,-3.915
142,04/19/21 05:00:00 AM,131.196,24.255,-3.893
143,04/19/21 05:00:00 PM,130.436,24.255,-3.971
144,04/20/21 05:00:00 AM,131.074,24.255,-3.906
145,04/20/21 05:00:00 PM,130.588,24.255,-3.955
146,04/21/21 05:00:00 AM,131.227,24.255,-3.890
147,04/21/21 05:00:00 PM,131.105,24.255,-3.903
148,04/22/21 05:00:00 AM,131.683,24.255,-3.844
149,04/22/21 05:00:00 PM,131.287,24.255,-3.884
150,04/23/21 05:00:00 AM,131.531,24.255,-3.859
151,04/23/21 05:00:00 PM,131.044,24.255,-3.909
152,04/24/21 05:00:00 AM,131.135,24.255,-3.900
153,04/24/21 05:00:00 PM,130.649,24.255,-3.949
154,04/25/21 05:00:00 AM,131.196,24.255,-3.893
155,04/25/21 05:00:00 PM,130.831,24.255,-3.931
156,04/26/21 05:00:00 AM,131.074,24.255,-3.906
157,04/26/21 05:00:00 PM,130.649,24.255,-3.949
158,04/27/21 05:00:00 AM,130.922,24.255,-3.921
159,04/27/21 05:00:00 PM,130.618,24.255,-3.952
