"Plot Title:  20976222"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976222, SEN S/N: 20976222)","Temp, °C (LGR S/N: 20976222, SEN S/N: 20976222)","Water Level, meters (LGR S/N: 20976222)"
1,02/08/21 05:00:00 PM,129.997,24.931,-3.360
2,02/09/21 05:00:00 AM,129.822,24.931,-3.378
3,02/09/21 05:00:00 PM,129.754,24.835,-3.385
4,02/10/21 05:00:00 AM,129.649,24.835,-3.395
5,02/10/21 05:00:00 PM,129.614,24.835,-3.399
6,02/11/21 05:00:00 AM,129.579,24.835,-3.403
7,02/11/21 05:00:00 PM,129.474,24.835,-3.413
8,02/12/21 05:00:00 AM,129.684,24.835,-3.392
9,02/12/21 05:00:00 PM,129.927,24.931,-3.367
10,02/13/21 05:00:00 AM,130.032,24.931,-3.356
11,02/13/21 05:00:00 PM,129.927,24.931,-3.367
12,02/14/21 05:00:00 AM,130.000,24.835,-3.360
13,02/14/21 05:00:00 PM,129.754,24.835,-3.385
14,02/15/21 05:00:00 AM,129.825,24.835,-3.378
15,02/15/21 05:00:00 PM,129.579,24.835,-3.403
16,02/16/21 05:00:00 AM,129.509,24.835,-3.410
17,02/16/21 05:00:00 PM,129.439,24.835,-3.417
18,02/17/21 05:00:00 AM,129.684,24.835,-3.392
19,02/17/21 05:00:00 PM,129.509,24.835,-3.410
20,02/18/21 05:00:00 AM,129.790,24.835,-3.381
21,02/18/21 05:00:00 PM,129.825,24.835,-3.378
22,02/19/21 05:00:00 AM,130.038,24.738,-3.356
23,02/19/21 05:00:00 PM,129.863,24.738,-3.374
24,02/20/21 05:00:00 AM,129.933,24.738,-3.367
25,02/20/21 05:00:00 PM,129.441,24.738,-3.417
26,02/21/21 05:00:00 AM,129.231,24.738,-3.438
27,02/21/21 05:00:00 PM,129.090,24.738,-3.452
28,02/22/21 05:00:00 AM,129.161,24.738,-3.445
29,02/22/21 05:00:00 PM,128.950,24.738,-3.467
30,02/23/21 05:00:00 AM,128.950,24.738,-3.467
31,02/23/21 05:00:00 PM,128.810,24.738,-3.481
32,02/24/21 05:00:00 AM,128.637,24.641,-3.499
33,02/24/21 05:00:00 PM,128.532,24.641,-3.509
34,02/25/21 05:00:00 AM,128.497,24.641,-3.513
