"Plot Title:  20844294"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20844294, SEN S/N: 20844294)","Temp, °C (LGR S/N: 20844294, SEN S/N: 20844294)","Water Level, meters (LGR S/N: 20844294)"
1,02/07/21 05:00:00 PM,141.548,24.835,-2.850
2,02/08/21 05:00:00 AM,141.928,24.835,-2.811
3,02/08/21 05:00:00 PM,141.720,24.835,-2.832
4,02/09/21 05:00:00 AM,141.651,24.835,-2.839
5,02/09/21 05:00:00 PM,141.582,24.835,-2.847
6,02/10/21 05:00:00 AM,141.582,24.835,-2.847
7,02/10/21 05:00:00 PM,141.479,24.835,-2.857
8,02/11/21 05:00:00 AM,141.548,24.835,-2.850
9,02/11/21 05:00:00 PM,141.410,24.835,-2.864
10,02/12/21 05:00:00 AM,141.582,24.835,-2.847
11,02/12/21 05:00:00 PM,141.437,24.738,-2.861
12,02/13/21 05:00:00 AM,141.444,24.835,-2.861
13,02/13/21 05:00:00 PM,141.264,24.738,-2.879
14,02/14/21 05:00:00 AM,141.368,24.738,-2.868
15,02/14/21 05:00:00 PM,141.057,24.738,-2.900
16,02/15/21 05:00:00 AM,140.988,24.738,-2.907
17,02/15/21 05:00:00 PM,140.712,24.738,-2.935
18,02/16/21 05:00:00 AM,140.815,24.738,-2.925
19,02/16/21 05:00:00 PM,140.401,24.738,-2.967
20,02/17/21 05:00:00 AM,140.470,24.738,-2.960
21,02/17/21 05:00:00 PM,140.194,24.738,-2.988
22,02/18/21 05:00:00 AM,140.574,24.738,-2.949
23,02/18/21 05:00:00 PM,140.505,24.738,-2.956
24,02/19/21 05:00:00 AM,140.815,24.738,-2.925
25,02/19/21 05:00:00 PM,140.746,24.738,-2.932
26,02/20/21 05:00:00 AM,140.808,24.641,-2.925
27,02/20/21 05:00:00 PM,140.532,24.641,-2.954
28,02/21/21 05:00:00 AM,140.566,24.641,-2.950
29,02/21/21 05:00:00 PM,140.359,24.641,-2.971
30,02/22/21 05:00:00 AM,140.428,24.641,-2.964
31,02/22/21 05:00:00 PM,140.325,24.641,-2.975
32,02/23/21 05:00:00 AM,140.325,24.641,-2.975
33,02/23/21 05:00:00 PM,140.152,24.641,-2.992
34,02/24/21 05:00:00 AM,140.049,24.641,-3.003
35,02/24/21 05:00:00 PM,139.772,24.641,-3.031
36,02/25/21 05:00:00 AM,139.807,24.641,-3.028
37,02/25/21 05:00:00 PM,139.565,24.641,-3.052
38,02/26/21 05:00:00 AM,139.496,24.641,-3.059
39,02/26/21 05:00:00 PM,139.282,24.545,-3.081
40,02/27/21 05:00:00 AM,139.454,24.545,-3.064
41,02/27/21 05:00:00 PM,139.316,24.545,-3.078
42,02/28/21 05:00:00 AM,139.662,24.545,-3.042
43,02/28/21 05:00:00 PM,139.282,24.545,-3.081
44,03/01/21 05:00:00 AM,139.834,24.545,-3.025
45,03/01/21 05:00:00 PM,139.834,24.545,-3.025
46,03/02/21 05:00:00 AM,139.972,24.545,-3.011
47,03/02/21 05:00:00 PM,139.696,24.545,-3.039
48,03/03/21 05:00:00 AM,139.834,24.545,-3.025
49,03/03/21 05:00:00 PM,139.731,24.545,-3.035
50,03/04/21 05:00:00 AM,139.869,24.545,-3.021
51,03/04/21 05:00:00 PM,139.454,24.545,-3.064
52,03/05/21 05:00:00 AM,139.558,24.545,-3.053
53,03/05/21 05:00:00 PM,139.282,24.545,-3.081
54,03/06/21 05:00:00 AM,139.489,24.545,-3.060
55,03/06/21 05:00:00 PM,139.213,24.545,-3.088
56,03/07/21 05:00:00 AM,139.558,24.545,-3.053
57,03/07/21 05:00:00 PM,139.482,24.448,-3.061
58,03/08/21 05:00:00 AM,139.620,24.448,-3.047
59,03/08/21 05:00:00 PM,139.378,24.448,-3.071
60,03/09/21 05:00:00 AM,139.585,24.448,-3.050
61,03/09/21 05:00:00 PM,139.344,24.448,-3.075
62,03/10/21 05:00:00 AM,139.585,24.448,-3.050
63,03/10/21 05:00:00 PM,139.274,24.448,-3.082
64,03/11/21 05:00:00 AM,139.551,24.448,-3.054
65,03/11/21 05:00:00 PM,139.413,24.448,-3.068
66,03/12/21 05:00:00 AM,139.689,24.448,-3.040
67,03/12/21 05:00:00 PM,139.620,24.448,-3.047
68,03/13/21 05:00:00 AM,139.723,24.448,-3.036
69,03/13/21 05:00:00 PM,139.309,24.448,-3.078
70,03/14/21 05:00:00 AM,139.309,24.448,-3.078
71,03/14/21 05:00:00 PM,138.826,24.448,-3.128
72,03/15/21 05:00:00 AM,138.860,24.448,-3.124
73,03/15/21 05:00:00 PM,138.722,24.448,-3.138
74,03/16/21 05:00:00 AM,138.929,24.448,-3.117
75,03/16/21 05:00:00 PM,138.791,24.448,-3.131
76,03/17/21 05:00:00 AM,138.887,24.351,-3.121
77,03/17/21 05:00:00 PM,138.577,24.351,-3.153
78,03/18/21 05:00:00 AM,138.887,24.351,-3.121
79,03/18/21 05:00:00 PM,138.611,24.351,-3.149
80,03/19/21 05:00:00 AM,138.818,24.351,-3.128
81,03/19/21 05:00:00 PM,138.508,24.351,-3.160
82,03/20/21 05:00:00 AM,138.646,24.351,-3.146
83,03/20/21 05:00:00 PM,138.231,24.351,-3.188
84,03/21/21 05:00:00 AM,138.508,24.351,-3.160
85,03/21/21 05:00:00 PM,138.301,24.351,-3.181
86,03/22/21 05:00:00 AM,138.577,24.351,-3.153
87,03/22/21 05:00:00 PM,138.508,24.351,-3.160
88,03/23/21 05:00:00 AM,138.818,24.351,-3.128
89,03/23/21 05:00:00 PM,138.439,24.351,-3.167
90,03/24/21 05:00:00 AM,138.784,24.351,-3.132
91,03/24/21 05:00:00 PM,138.335,24.351,-3.178
92,03/25/21 05:00:00 AM,138.404,24.351,-3.171
93,03/25/21 05:00:00 PM,138.128,24.351,-3.199
94,03/26/21 05:00:00 AM,138.404,24.351,-3.171
95,03/26/21 05:00:00 PM,137.852,24.351,-3.227
96,03/27/21 05:00:00 AM,138.197,24.351,-3.192
97,03/27/21 05:00:00 PM,137.955,24.351,-3.216
98,03/28/21 05:00:00 AM,138.093,24.351,-3.202
99,03/28/21 05:00:00 PM,137.672,24.255,-3.245
100,03/29/21 05:00:00 AM,137.948,24.255,-3.217
101,03/29/21 05:00:00 PM,137.292,24.255,-3.284
102,03/30/21 05:00:00 AM,137.334,24.351,-3.280
103,03/30/21 05:00:00 PM,136.774,24.255,-3.337
104,03/31/21 05:00:00 AM,136.809,24.255,-3.333
105,03/31/21 05:00:00 PM,136.671,24.255,-3.347
106,04/01/21 05:00:00 AM,136.809,24.255,-3.333
107,04/01/21 05:00:00 PM,136.843,24.255,-3.330
108,04/02/21 05:00:00 AM,137.258,24.255,-3.287
109,04/02/21 05:00:00 PM,137.154,24.255,-3.298
110,04/03/21 05:00:00 AM,137.396,24.255,-3.273
111,04/03/21 05:00:00 PM,137.465,24.255,-3.266
112,04/04/21 05:00:00 AM,137.534,24.255,-3.259
113,04/04/21 05:00:00 PM,137.327,24.255,-3.280
114,04/05/21 05:00:00 AM,137.568,24.255,-3.256
115,04/05/21 05:00:00 PM,137.430,24.255,-3.270
116,04/06/21 05:00:00 AM,137.603,24.255,-3.252
117,04/06/21 05:00:00 PM,137.396,24.255,-3.273
118,04/07/21 05:00:00 AM,137.568,24.255,-3.256
119,04/07/21 05:00:00 PM,137.189,24.255,-3.294
120,04/08/21 05:00:00 AM,137.258,24.255,-3.287
121,04/08/21 05:00:00 PM,137.085,24.255,-3.305
122,04/09/21 05:00:00 AM,137.258,24.255,-3.287
123,04/09/21 05:00:00 PM,137.085,24.255,-3.305
124,04/10/21 05:00:00 AM,137.465,24.255,-3.266
125,04/10/21 05:00:00 PM,137.189,24.255,-3.294
126,04/11/21 05:00:00 AM,137.430,24.255,-3.270
