date,district,latitude,longitude,altitude,precision,well_type,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,gw_level_from_mp,mp_in_m,gw_level,fid,well_no
2021-01-27,Banke,28.1465454,81.5519862,93.0,4.551,sw,27,5.0,2.95,0.27,2.68,24,bk-sw-18_1
2021-01-27,Banke,28.2064949,81.6307264,101.0,4.803,sw,40,8.0,6.5,0.4,6.1,28,bk-sw-03
2021-01-27,Banke,28.2576903,81.6361819,95.0,4.551,sw,15,0.0,0,0.15,-0.15,27,dimage
2021-01-27,Banke,28.1920455,81.5747481,99.0,4.854,sw,29,5.0,3.25,0.29,2.96,26,bk-sw-05_1
2021-01-27,Banke,28.1114479,81.5216935,79.0,4.551,sw,23,7.0,4.95,0.23,4.72,25,bk-sw-19_1
2021-01-27,Banke,28.1287151,81.5894281,88.0,4.551,sw,15,5.0,2.85,0.15,2.7,23,bk-sw-17_1
2021-01-27,Banke,28.1060386,81.5971551,99.0,4.551,sw,35,3.75,3.25,0.35,2.9,22,bk-sw-25_1
2021-01-27,Banke,28.0828437,81.5956795,92.0,4.551,sw,40,4.6,4.1,0.4,3.7,21,bk-sw-27
2021-01-27,Banke,28.0804943,81.6419293,114.0,13.349,sw,20,3.6,2.4000000000000004,0.2,2.2,20,Test
2021-01-27,Banke,28.0780663,81.5933074,94.0,4.854,sw,25,5.0,2.45,0.25,2.2,19,bk-sw-26
2021-01-28,Bardiya,28.1055899,81.4825913,79.0,4.551,dt,10,15.0,10.5,0.1,10.4,49,
2021-01-28,Bardiya,28.0803241,81.64207,64.0,51.578,sw,0,2.0,2,0,2,29,Test
2021-01-28,Bardiya,28.085181,81.5163616,83.0,4.803,dt,25,13.0,12,0.25,11.75,47,1611818785404.amr
2021-01-28,Bardiya,28.0828531,81.5111708,89.0,4.551,dt,24,13.0,9.8,0.24,9.56,50,
2021-01-28,Bardiya,28.0883406,81.502631,89.0,4.854,dt,20,13.0,11.8,0.2,11.6,48,
2021-01-29,Banke,28.0285434,81.6946848,78.0,4.854,sw,55,6.0,4.45,0.55,3.9,31,bk-sw-30
2021-01-29,Banke,27.9833039,81.7132923,84.0,4.551,sw,70,5.0,3.45,0.7,2.75,32,bk-sw-10_1
